know,103.71060073803241,trump,89.56500848802533,people,60.64164698158768,police,36.64911137806324,biden,70.71159628153436,israel,49.69618653344271,man,68.53244167731442,vote,48.554576154014796,thing,25.17102971291797,god,38.24415444668481,bernie,42.6891762542883,democrats,17.15060339722086,abortion,40.0567195307004,ukraine,35.04100132358423,harris,43.947019839221284,bitcoin,47.964311601635764,know,22.403534284766817,people,20.589998971104986,child,24.773506360710787,gun,51.17160959268422
think,34.09957396395876,donald,23.362774156679098,think,46.84525143883823,officer,25.858889937989623,joe,45.88678601296757,hamas,20.24795185747258,woman,54.02158136681935,win,25.96422707630732,think,23.555480202600148,jesus,31.680952218047764,sanders,24.428579780365364,president,16.655384481928103,court,22.55052861687047,russia,31.59171881015647,kamla,17.24453762777679,money,11.778631359988335,let,19.20405941714904,vaccine,19.60094358006353,kid,22.658460204087653,shooting,16.634187083996867
people,20.474109594410393,president,22.283197093250056,thing,24.284875640056136,people,18.85627601275448,hunter,11.871193552953184,gaza,15.887542527696501,want,11.433521472689257,election,25.05401405968011,know,20.456301994588113,bible,19.118633081480354,warren,14.327110600887373,ben,14.144861944175938,supreme,13.370321308044026,putin,23.83765811433463,kla,15.205247329515316,dollar,6.737546625382486,guy,18.70115467058772,virus,14.798759958424727,school,19.114109515375084,firearm,11.1571254934083
thing,20.467772110975638,think,9.955794988758557,want,16.256809099731242,cop,15.031617805421915,president,7.666097408894167,kamas,12.465896061621565,bro,9.727307056663824,pennsylvania,23.757574687153422,idea,15.048917773872946,let,14.964067167600954,bloomberg,13.70136962878413,medium,13.622384055076571,roe,12.64677107507233,war,20.790850599420335,donald,10.545373948612266,gold,6.447710285806677,want,16.883403859023574,mask,14.117869972832798,parent,14.462336706983741,shoot,11.071351882977273
mean,19.975641381005374,people,9.936711039896307,talk,15.755240981451152,shoot,10.014334797045452,debate,4.596843200636948,jews,12.295384834068578,people,9.678503983583854,trump,22.667391249960374,way,14.876004397209599,people,14.352946174712516,elizabeth,9.416229840827645,shapiro,12.320846493189705,law,12.355307214323535,china,17.964056385696633,vance,8.63740222129388,currency,6.234972634402514,look,15.626297913553437,government,10.045493230791077,year,10.377958660618985,shooter,9.26014379321794
kind,14.165973188027506,want,7.229965829677272,mean,13.551514568562823,let,9.26455070135301,democrats,4.547334620460608,iran,8.542941265371555,girl,9.672093951021685,georgia,19.777828284553514,world,14.771409583463493,chat,12.232714325947148,democrats,7.034623077172498,fbi,11.88064315054599,woman,11.02382711579991,united,12.633663737078098,campaign,8.541307516802403,buy,5.623185376707064,people,12.625450763650704,health,10.000605568337546,gender,9.594463231657246,people,7.903529973375542
lot,13.027255690669818,hillary,7.171802178837584,left,12.916029451889745,floyd,8.728712564228744,election,4.0883887979961,terrorist,8.023945712054376,look,9.60398888752958,county,17.616133180918066,mean,12.779297365858229,spirit,12.15543240143242,party,6.192616396052325,investigation,11.86886523464992,state,10.29439573554857,states,12.171877343495938,president,7.9341322446416225,people,5.05223823456012,mug,11.028396516303546,death,9.643886942242887,want,7.867183558009244,rifle,7.882343107982509
want,11.006363136072713,win,6.712762484423233,speech,12.914407353448235,man,7.70389399059317,accord,4.072200503894545,civilian,7.887983728764776,male,8.727655851660103,state,17.177137813693207,story,12.766720451337395,church,11.264195260669085,sander,5.728556115310639,impeachment,11.521743416255742,baby,8.61769499764707,country,12.145645670974822,kamala,7.682874032668288,market,4.918617618787664,think,10.405167398675419,coronavirus,9.156242144463997,family,7.731370824564725,weapon,7.699715800609089
guy,10.097760236992006,obama,6.3120500324748825,sort,12.468706801659083,know,7.466560206800155,policy,3.9897208850946537,palestinians,7.621526176430853,let,8.273447948582609,michigan,16.326545907427334,structure,12.722481050205431,thank,10.539741570605432,candidate,5.700168897729312,news,11.185213240883126,decision,8.242225955922532,nato,12.06062706233035,walls,6.9393004497023325,government,4.865594801211864,club,10.106104080341817,vaccinate,8.499436893694835,life,7.551776217372682,school,7.096724159289931
come,9.877644068699633,country,5.877353683357253,lot,11.691990648450735,chat,6.958627659434313,inflation,3.957111301414506,war,6.889133090046861,dude,8.081742356474816,think,15.884803738510893,sense,11.429772836332425,pray,10.284696197757878,win,5.337673041802134,left,10.617532119819911,life,7.851193163176521,world,9.286022231026271,border,6.642494942919271,inflation,4.7593094216559635,way,9.760883711279496,china,7.828505158256734,teacher,7.481815353966161,mass,7.062333868176347
time,9.409121176916035,vote,5.635673403044537,idea,11.028759009943412,protest,6.870364389671952,administration,3.8964456405610517,hostage,6.208274818388369,sex,7.758010679656691,voter,15.21266355413062,hierarchy,11.149223463588676,man,9.890703413744946,iowa,5.034770679485511,story,10.446442681493107,wade,7.654432766871271,vladimir,8.795878357522062,vice,6.4473799438666255,value,4.6195572235165185,youtube,9.747539166741033,rate,7.37185587100104,student,7.1457044381799975,law,6.51233998446311
talk,8.903848578369269,thing,5.628134965202857,government,10.901299565538887,city,6.829946276701868,border,3.824972380714919,people,5.067410294415494,feminist,5.869229412997577,arizona,14.76572184739789,sort,10.890408479221948,baptize,9.644847663276114,people,4.739738061122694,trump,9.978622618187574,justice,7.6286922827324055,iran,8.512232583807062,tim,6.041509311306892,bank,4.379011728185685,rumble,9.204568526037784,test,7.051823676871024,girl,6.612162200152517,amendment,6.030234602390374
